,dbn,school_name,boro,grade_span_min,grade_span_max,zip,total_students,school_type,overview_paragraph,program_highlights,language_classes,advancedplacement_courses,extracurricular_activities,school_sports,partner_highered,ell_programs,number_programs,psal_sports_boys,psal_sports_girls,ontrack_year1_2013,graduation_rate_2013,college_career_rate_2013,student_satisfaction_2013,ontrack_year1_2012,graduation_rate_2012,college_career_rate_2012,student_satisfaction_2012,ontrack_year1_historic_avg_similar_schls,graduation_rate_historic_avg_similar_schls,college_career_rate_historic_avg_similar_schls,student_satisfaction_historic_avg_similar_schls,quality_review_rating,quality_review_year,program,interest,eng,math,soc,sci,stm,ela,seat_gr09,app_gr09,seat_gr10,app_gr10
337,14K474,PROGRESS High School for Professional Careers,Brooklyn,9,12,11211,1083,,"The Urban Assembly School of Design and Construction (SDC) prepares students for college and beyond through a challenging academic program with an emphasis on Architecture, Engineering and Design. Students take a biweekly Design Seminar and visit architectural sites throughout New York City. SDC is committed to involving students and families along the path to college through a challenging academic program, frequent communication, college Advisory and extracurricular activities. These elements, in addition to our design program, create a supportive and challenging educational environment.","Four years of English, math, science and social studies required; Minimum study of two years of Design Studio, which includes Introduction to Concepts of Architecture, Design and Engineering; Electives such as Music, Drama, Creative Writing and College Writing; Internships at firms in the Architecture, Engineering and Construction Management fields; Participation in the Sponsors for Educational Opportunity (SEO) Program and Architecture, Construction and Engineering (ACE) Mentor Program",Spanish,"Biology, Calculus AB, English Language and Composition, Human Geography, Music Theory, Spanish Literature and Culture, Studio Art: 2-D Design, Studio Art: 3-D Design, Studio Art: Drawing, United States Government and Politics, United States History","National Honor Society, Peer Mediation, Student Government, Student Leadership Retreats, Science Fair and Science Research Program, Math and Technology Fair, Student Internships, Advanced Visual Arts Classes, Saturday Academy; 3 full concert bands, 2 jazz bands, 2 choral ensembles, 2 dance ensembles, chamber groups such as guitar ensemble, brass choir and clarinet choir; Annual theater/musical theater performances by students; 20 after-school clubs; Presentations at City/State Conferences, School Spirit Activities",Full program of school sports; students compete in the Grand Street Campus (GSC) Athletic Program. All activities are supported by the GSC Events Staff.,"Institute for Medical-Health Professions, CUNY Graduate Center, SUNY, College of St. Rose, St. Johnâ€™s University, Brooklyn College, Hunter college, Cooper Union, Pratt Institute, Long Island University, City College, New York University, City University of New York, State University of New York, Boricua College, etc.",ESL; Transitional Bilingual Program: Spanish,4,"Baseball, Basketball & JV Basketball, Bowling, Handball, Soccer, Volleyball","Basketball & JV Basketball, Handball, Volleyball",72%,59%,44%,7.5,70%,75%,40%,6.5,75%,67%,45%,7,Proficient,2009-10,Instrumental Music,Performing Arts,,,,,,,34,149,10,8
338,14K474,PROGRESS High School for Professional Careers,Brooklyn,9,12,11211,1083,,"The Urban Assembly School of Music and Art prepares students for college and the world of work. Our program integrates literacy and the arts into all aspects of our instructional program. Students learn to be critical thinkers and creative communicators. They learn to process and analyze complex information, view information in context, connect it to prior learning and convey their ideas in a purposeful and convincing manner. Our program capitalizes upon our students' love of the arts and their desire to engage in self-expression. We create an environment where students understand the practical relevance of their learning to be able to fulfill their visions for the future.","Artist-in-Residence, Visiting Artist Series, Technology-based Art Instruction in Reason, ProTools, Logic, Garage Band, Photoshop, Illustrator, Final Cuts, Arts-related Field Trips, Jazz Band, Iron Chef Culinary Classes, Fashion Design, Spoken Word, Drama, Digital Portfolio",Spanish,"Biology, Calculus AB, English Language and Composition, Human Geography, Music Theory, Spanish Literature and Culture, Studio Art: 2-D Design, Studio Art: 3-D Design, Studio Art: Drawing, United States Government and Politics, United States History","National Honor Society, Peer Mediation, Student Government, Student Leadership Retreats, Science Fair and Science Research Program, Math and Technology Fair, Student Internships, Advanced Visual Arts Classes, Saturday Academy; 3 full concert bands, 2 jazz bands, 2 choral ensembles, 2 dance ensembles, chamber groups such as guitar ensemble, brass choir and clarinet choir; Annual theater/musical theater performances by students; 20 after-school clubs; Presentations at City/State Conferences, School Spirit Activities",Full program of school sports; students compete in the Grand Street Campus (GSC) Athletic Program. All activities are supported by the GSC Events Staff.,"Institute for Medical-Health Professions, CUNY Graduate Center, SUNY, College of St. Rose, St. Johnâ€™s University, Brooklyn College, Hunter college, Cooper Union, Pratt Institute, Long Island University, City College, New York University, City University of New York, State University of New York, Boricua College, etc.",ESL; Transitional Bilingual Program: Spanish,4,,,72%,59%,44%,7.5,70%,75%,40%,6.5,75%,67%,45%,7,Proficient,2009-10,Fine Art,Visual Art & Design,,,,,,,34,259,10,10
339,14K477,School for Legal Studies,Brooklyn,9,12,11211,641,,"The West Bronx Academy for the Future (WBA) is a high-tech school that prepares its graduates to participate fully in the social, civic and economic life of their city. Students learn in integrated classes and are supported by a guidance system featuring small numbers of students with long-term teacher involvement. Our program is enhanced by real-world project-based learning and the thorough integration of technology. Students are able to use two computer labs (MAC and HP) while working on integrated curriculum.",Integrated curriculum that gives students the opportunity to take Advanced Placement classes; Technology is used to enhance teaching and learning; Access to computers equipped with software to enrich school-based curricula,Spanish,"Calculus AB, Chemistry, English Language and Composition, Music Theory, United States History","Art, Big Siblings Program, Cheerleading, Chess, Community Service, Dance, Debate Team, Drama, Explorers, Leadership Classes, Math, Model UN, Moot Court/Mock Trial, Multicultural, Peer Mediators, Youth Court, Extended Learning Academy, College Now, and Virtual Learning; three full concert bands, two jazz bands, two choral ensembles, numerous chamber groups such as guitar ensemble, brass choir and clarinet choir",,"New York University, City University of New York-CUNY School of Law (at Queens College), John Jay College of Criminal Justice, New York City College of Technology, St. John's University, Pace University, Fordham University, Columbia University",ESL,2,"Baseball & JV Baseball, Basketball & JV Basketball, Indoor Track, Outdoor Track, Swimming, Volleyball","Indoor Track, Outdoor Track, Softball, Volleyball",55%,43%,45%,6.8,56%,69%,52%,6.6,73%,65%,45%,6.9,Developing,2012-13,Legal Studies,Law & Government,,,,,,,200,396,10,16
340,14K477,School for Legal Studies,Brooklyn,9,12,11211,641,,"The Womenâ€™s Academy of Excellence is the only all-girls public high school in the Bronx, serving grades 9-12. Our mission is to create a community of lifelong learners, to nurture the intellectual curiosity and creativity of young women and to address their developmental needs. The school community cultivates dynamic, participatory learning, enabling students to achieve academic success at many levels, especially in the fields of math, science and civic responsibility. Our future scholars are exposed to a challenging curriculum that encourages them to achieve their personal best.",Health and Wellness Program,Spanish,"Calculus AB, Chemistry, English Language and Composition, Music Theory, United States History","Art, Big Siblings Program, Cheerleading, Chess, Community Service, Dance, Debate Team, Drama, Explorers, Leadership Classes, Math, Model UN, Moot Court/Mock Trial, Multicultural, Peer Mediators, Youth Court, Extended Learning Academy, College Now, and Virtual Learning; three full concert bands, two jazz bands, two choral ensembles, numerous chamber groups such as guitar ensemble, brass choir and clarinet choir",,"New York University, City University of New York-CUNY School of Law (at Queens College), John Jay College of Criminal Justice, New York City College of Technology, St. John's University, Pace University, Fordham University, Columbia University",ESL,2,,Cross Country,55%,43%,45%,6.8,56%,69%,52%,6.6,73%,65%,45%,6.9,Developing,2012-13,Computer Forensics Program,Law & Government,,,,,,,34,202,10,4
341,14K478,"The High School for Enterprise, Business and Technology",Brooklyn,9,12,11211,1016,,"The Young Womenâ€™s Leadership Schools (TYWLS) were established to nurture the intellectual curiosity and creativity of young women by supporting the 'whole girl' in order to maximize academic achievement, social emotional well-being and postsecondary success. Our school is supported by Young Womenâ€™s Leadership Network and its CollegeBound Initiative in order to replicate the best practices of private and independent girls schools. TYWLS of East Harlem opened in 1996 as the first in the network. TYWLS strives to instill in students a sense of self-efficacy and community responsibility: characteristics which will support them as they become the leaders of the next generation.","CollegeBound Initiative, College Now, Science Education, Tutorials, Open Doors and Stage Doors (Theater), Orchestra, Chorus, Manhattan Theater, Advanced Placement Classes",Spanish,"Biology, Calculus AB, English Language and Composition, English Literature and Composition, Environmental Science, Music Theory, Spanish Language and Culture, Spanish Literature and Culture, Statistics, United States History, World History","Amnesty International, ASPIRA, buildOn, Cinema, Coding, Culture, Dance, Debate Team, Drama, Environmental Awareness, Future Business Leaders of America (FBLA), International Students, Karate, Literary Magazine, Martial Arts, Model UN, MOUSE Squad, National Honor Society, National Technical Honor Society, New York State Business and Marketing Honor Society, Photography, Poetry, Poetry Society, PSAT/SAT Prep Classes, Quill and Scroll Honor Society, Robotics, School Newspaper, Sign Language, Student Government, Talent, Travel and Tourism, Yearbook",,"Columbia University, New York University, New York City College of Technology, Long Island University, The City College of New York, Crane School of Music (SUNY Potsdam), Brooklyn College Conservatory of Music, University of Illinois School of Music, Kingsborough Community College",ESL; Transitional Bilingual Program: Spanish,4,,Indoor Track,80%,73%,50%,7.2,83%,77%,54%,6.1,76%,69%,50%,7.1,Well Developed,2007-08,Gateway: Mathematics and Science Institute for Pre-College Education,Science & Math,Scores 85-100,Scores 85-100,Scores 85-100,Scores 85-100,Levels 3-4,Levels 3-4,60,205,10,8
342,14K478,"The High School for Enterprise, Business and Technology",Brooklyn,9,12,11211,1016,,"The Young Womenâ€™s Leadership Schools (TYWLS) were established to nurture the intellectual curiosity and creativity of young women by supporting the â€˜whole girlâ€™ in order to maximize academic achievement, social emotional well-being, and postsecondary success. TYWLS is supported by The Young Womenâ€™s Leadership Network and its CollegeBound Initiative in order to replicate the best practices of private and independent girlsâ€™ schools. TYWLS of Astoria opened in 2006 as the 4th in the Network. The school approaches learning in a dynamic, participatory fashion, encouraging students to take responsibility for their own learning. TYWLS strives to instill in students a sense of self-efficacy and community responsibility, characteristics which will support them as they become the leaders of the next generation.","CollegeBound Initiative, small interdisciplinary learning environment, collaborative group work and project-based instruction; Advisory classes focusing on female adolescent development, positive self-image, early college awareness",Spanish,"Biology, Calculus AB, English Language and Composition, English Literature and Composition, Environmental Science, Music Theory, Spanish Language and Culture, Spanish Literature and Culture, Statistics, United States History, World History","Amnesty International, ASPIRA, buildOn, Cinema, Coding, Culture, Dance, Debate Team, Drama, Environmental Awareness, Future Business Leaders of America (FBLA), International Students, Karate, Literary Magazine, Martial Arts, Model UN, MOUSE Squad, National Honor Society, National Technical Honor Society, New York State Business and Marketing Honor Society, Photography, Poetry, Poetry Society, PSAT/SAT Prep Classes, Quill and Scroll Honor Society, Robotics, School Newspaper, Sign Language, Student Government, Talent, Travel and Tourism, Yearbook",,"Columbia University, New York University, New York City College of Technology, Long Island University, The City College of New York, Crane School of Music (SUNY Potsdam), Brooklyn College Conservatory of Music, University of Illinois School of Music, Kingsborough Community College",ESL; Transitional Bilingual Program: Spanish,4,,"Outdoor Track, Rugby",80%,73%,50%,7.2,83%,77%,54%,6.1,76%,69%,50%,7.1,Well Developed,2007-08,Computer Science/Networking,Computer Science & Technology,,,,,,,80,777,10,16
343,14K478,"The High School for Enterprise, Business and Technology",Brooklyn,9,12,11211,1016,,"The Young Womenâ€™s Leadership Schools (TYWLS) were established to nurture the intellectual curiosity and creativity of young women by supporting the â€œwhole girlâ€ù in order to maximize academic achievement, social emotional well being, and post-secondary success. TYWLS is supported by Young Womenâ€™s Leadership Network and its CollegeBound Initiative in order to replicate the best practices of private and independent girls schools. TYWLS of Brooklyn opened in 2008 as the fifth school in the network. TYWLS strives to instill in students a sense of self-efficacy and community responsibility, characteristics which will support them as they become the leaders of the next generation.","College Bound, Small interdisciplinary learning environment, Collaborative groupwork and project-based instruction, Advisory classes focusing on female adolescent development and positive self-image, Early college awareness; Advanced Placement Courses: N/A (Expected: Biology, Calculus AB, Environmental Science, Government and Politics: United States, Spanish Literature)",Spanish,"Biology, Calculus AB, English Language and Composition, English Literature and Composition, Environmental Science, Music Theory, Spanish Language and Culture, Spanish Literature and Culture, Statistics, United States History, World History","Amnesty International, ASPIRA, buildOn, Cinema, Coding, Culture, Dance, Debate Team, Drama, Environmental Awareness, Future Business Leaders of America (FBLA), International Students, Karate, Literary Magazine, Martial Arts, Model UN, MOUSE Squad, National Honor Society, National Technical Honor Society, New York State Business and Marketing Honor Society, Photography, Poetry, Poetry Society, PSAT/SAT Prep Classes, Quill and Scroll Honor Society, Robotics, School Newspaper, Sign Language, Student Government, Talent, Travel and Tourism, Yearbook",,"Columbia University, New York University, New York City College of Technology, Long Island University, The City College of New York, Crane School of Music (SUNY Potsdam), Brooklyn College Conservatory of Music, University of Illinois School of Music, Kingsborough Community College",ESL; Transitional Bilingual Program: Spanish,4,,,80%,73%,50%,7.2,83%,77%,54%,6.1,76%,69%,50%,7.1,Well Developed,2007-08,Business & Finance,Business,,,,,,,80,475,10,18
344,14K478,"The High School for Enterprise, Business and Technology",Brooklyn,9,12,11211,1016,,"The Young Womenâ€™s Leadership Schools (TYWLS) were established to nurture the intellectual curiosity and creativity of young women by supporting the â€˜whole girl' in order to maximize academic achievement, social emotional well-being, and postsecondary success. TYWLS, Queens is supported by Young Womenâ€™s Leadership Network and its CollegeBound Initiative in order to replicate the best practices of private and independent girls schools. TYWLS of Queens opened in 2005 as the third school in the network. TYWLS, Queens strives to instill in students a sense of self-efficacy and community responsibility, characteristics that will support them as they become the leaders of the next generation. TYWLS of Queens expects families to play an active role in their daughtersâ€™ education.","All freshmen are expected to participate in a character-building trip out of NYC to strengthen interpersonal skills; Free Saturday tutoring programs 6 weeks prior to Regents examinations; Advisory program anchored in â€˜Respect 360â€™; PupilPath used for regular communication with studentsâ€™ families; Accelerated STEM Courses; Music, Art, Performing Arts, College Now; Electives focus predominantly on social justice and equality.",Spanish,"Biology, Calculus AB, English Language and Composition, English Literature and Composition, Environmental Science, Music Theory, Spanish Language and Culture, Spanish Literature and Culture, Statistics, United States History, World History","Amnesty International, ASPIRA, buildOn, Cinema, Coding, Culture, Dance, Debate Team, Drama, Environmental Awareness, Future Business Leaders of America (FBLA), International Students, Karate, Literary Magazine, Martial Arts, Model UN, MOUSE Squad, National Honor Society, National Technical Honor Society, New York State Business and Marketing Honor Society, Photography, Poetry, Poetry Society, PSAT/SAT Prep Classes, Quill and Scroll Honor Society, Robotics, School Newspaper, Sign Language, Student Government, Talent, Travel and Tourism, Yearbook",,"Columbia University, New York University, New York City College of Technology, Long Island University, The City College of New York, Crane School of Music (SUNY Potsdam), Brooklyn College Conservatory of Music, University of Illinois School of Music, Kingsborough Community College",ESL; Transitional Bilingual Program: Spanish,4,,Indoor Track,80%,73%,50%,7.2,83%,77%,54%,6.1,76%,69%,50%,7.1,Well Developed,2007-08,Music Major,Performing Arts,,,,,,,25,NA,None,None
345,14K488,Brooklyn Preparatory High School,Brooklyn,9,12,11211,489,,"This is a small Career and Technical Education (CTE) high school with big dreams of helping students prepare for health careers in not only in pharmacy and dentistry, but also in many other Science, Technology, Engineering and Math (STEM) areas. The focus on STEM helps students market their skills in the growing job industries. Our unique project-based instructional approach uses activities that engage studentsâ€™ interest and motivation as they solve problems using an inquiry approach. These activities are designed to answer a question or solve a problem and generally reflect the types of learning and work people do in the everyday world outside the classroom.","Project-based Assessments, Elective Advisory Course called 'Rounds,' Community Internships (Junior and Senior Years)","French, Spanish","Calculus AB, Chemistry, English Language and Composition, European History, Spanish Language and Culture, United States History","Cheerleading, Chess, College Exploration, Craft Club, Dance performances, Film/Documentary Club, Full-length dramatic production, Genealogy Club, High School Heroes, Job Shadowing, Leadership Class, Music performances, Newspaper, Numerous art clubs with installations and presentations, Peer Mediation, Peer Tutoring, Puzzle, Step Team, Student Government, Travel, Yearbook",Intramural Sports Tournaments,"The City University of New York, New York University, Columbia University, Spelman University, University of Bridgeport, Johnson and Wales University, Penn State, Rutgers University, Syracuse University, University of Delaware.",ESL,1,"Baseball, Basketball & JV Basketball, Handball, JV Basketball, Soccer, Volleyball","Basketball, Lacrosse, Softball, Volleyball",90%,74%,54%,7.1,90%,76%,62%,6.5,79%,72%,51%,7.2,Proficient,2012-13,Brooklyn Preparatory High School,Humanities & Interdisciplinary,,,,,,,116,1071,10,33
346,14K558,Williamsburg High School for Architecture and Design,Brooklyn,9,12,11211,579,,"Through a college preparatory curriculum, our school focuses on the crucial life skills of problem-solving, critical thinking and literacy. Our school meets all studentsâ€™ educational needs beginning with the Ninth Grade Academy and continuing with focused Small Learning Communities. All our programs foster high expectations and academic achievement in a positive and supportive learning environment. The Small Learning Community pathways include themed programs for college and career readiness. We welcome our students and parents to join us in cultivating a professional learning community.","Students are provided the opportunity to explore and gain insight into their interests in a variety of career-related fields. Offerings include courses in Law, Engineering, Forensics and Health Sciences, Business and Finance, Travel and Tourism, and Virtual Enterprise. Additional courses include Achieve 3000 for Intermediate ESL/Bilingual students, Rosetta Stone for Beginner ESL/Bilingual students and APEX Virtual Learning School. College Now courses for college credit include: World History, Psychology, Genetics, and Teaching with Multimedia Computer Applications. Students have access to college application workshops and internships with local businesses.",Spanish,"Calculus AB, English Language and Composition, Human Geography, Spanish Language and Culture, United States History","Students organize to establish clubs that interest them. Students have organized clubs such as the video game club, architecture club, photography club, peer tutoring, and skateboarding club. WHSAD invites honor roll students to free incentive field trips at the end of each marking period. Past trips have included court-side seats to a Brooklyn Nets basketball game, ice skating at Central Park, as well as Broadway plays and musicals.","Cheerleading, Co-ed Soccer Club, Dance, Girls Flag Football, Step","The City College of New York (CCNY) School of Architecture, Queens Community College, Cooper Union, Farmingdale State University, American College of the Building Arts, New York City College of Technology, Pratt Institute, FIT, St. Francis College",ESL,1,"Baseball & JV Baseball, Basketball & JV Basketball, Bowling, Golf, Handball, Indoor Track, Outdoor Track, Soccer, Swimming, Tennis, Volleyball","Basketball & JV Basketball, Bowling, Indoor Track, Outdoor Track, Soccer, Softball & JV Softball, Swimming, Tennis, Volleyball & JV Volleyball",93%,90%,52%,8.8,94%,88%,48%,7.2,78%,74%,53%,7.3,Proficient,2008-09,Architecture and Design,Architecture,,,,,,,150,1238,None,None
347,14K561,Williamsburg Preparatory School,Brooklyn,9,12,11211,671,,"Through a focus on business administration and entrepreneurship, students prepare for success at competitive colleges and universities. We are committed to building a community of learners and leaders.","Job shadowing and internships with local businesses, non-profits and organizations; Accelerated credit accumulation; College and Career Readiness; Developmental Guidance; College Counseling Services; Student Mentoring; Annual Trips and College Tours; Technology Focus; Computer Training; Computer-based remediation, enrichment and online learning; Regents Prep, PSAT and SAT Prep Classes; After-school and Weekend Programs",Spanish,"Calculus AB, English Language and Composition, English Literature and Composition, Human Geography, Spanish Language and Culture, Statistics, United States History","Art, Board Games, Cheerleading, Chess, Community Service, Cooking, Drama, Flag Football, Gardening, Greenpoint Youth Court, iMentor, Improv Comedy, International, Literary and Art Journal, National Honor Society, Readers are Leaders, Recruiting Ambassadors, Student Council, Technology, Urban Explorers, Video Gaming, Y Scholars program",Intramural Basketball,"City University of New York (CUNY) New York City College of Technology, Pace University",ESL,1,"Baseball, Basketball, Bowling, Handball, Indoor Track, Outdoor Track, Soccer, Volleyball","Cross Country, Indoor Track, Outdoor Track, Softball, Tennis, Volleyball",93%,89%,67%,8.1,93%,91%,73%,7.3,83%,79%,61%,7.3,Well Developed,2007-08,Williamsburg Preparatory School,Humanities & Interdisciplinary,,,,,,,140,2172,5,47
348,14K586,Lyons Community School,Brooklyn,6,12,11206,546,,"Through a unique partnership with the advertising industry, we provide a strong education that prepares students for college and careers. Mentorships, internships and long-term advertising projects reflect real-world experience. Students may graduate with an Advanced Regents diploma and certifications in Microsoft Office and Adobe software. Those who complete the Career and Technical Education sequence receive a certification in Communications and Advertising Design and are eligible for an IAM (Innovation in Advertising and Media) endorsement to pursue work in the industry or college.","Students may receive CTE endorsement in Computer Software and Media Applications; Advanced Regents Diploma, Microsoft Office Specialist Certifications, Adobe Certified Associate Program, Communications and Advertising Design Certification, Innovation in Advertising and Media (IAM) Endorsement, Industry Internships, Industry Mentor Program, Community Advertising Campaign Competition, College Now, College and Career Advisory Program",Spanish,,"Chess, Community Service, Dance, Homework Help, Justice Panel, Library, Music, Newspaper, Peer Mediation, Peer Tutoring, Rush Teens (arts program), Step, Theater, Yearbook","NYSAA Flag Football, NYSAA Basketball, Cheerleading, Fitness",Long Island University,ESL,1,"Baseball & JV Baseball, Basketball & JV Basketball, Bowling, Football & JV Football, Handball, Indoor Track, Outdoor Track, Soccer, Softball & JV Softball, Tennis, Volleyball & JV Volleyball, Wrestling","Basketball & JV Basketball, Bowling, Indoor Track, Outdoor Track, Soccer, Softball & JV Softball, Tennis",74%,60%,35%,7.3,73%,65%,46%,6.8,74%,65%,43%,7.1,Proficient,2012-13,Lyons Community School,Humanities & Interdisciplinary,,,,,,,81,500,10,17
349,14K610,Automotive High School,Brooklyn,9,12,11222,420,CTE School,"Through close partnerships with the Borough of Manhattan Community College  (BMCC) and with the advertising industry, we provide all students with a strong  education that prepares them for college and careers. Industry partners will  provide all students with a range of work-based learning experiences including  job shadowing, field trips, special training seminars, and internships. In addition,  students are eligible to earn an Associate's Degree â€“ at no cost â€“ while still in high  school. Students can stay at our school for up to six years and graduates leave  ready to go directly into careers and as strong candidates for 4-year colleges.  ",Early College experience leading to a free associate's degree  from BMCC; internships and apprenticeships in the advertising and media  industry; professional mentor program; small advisory groups led by faculty  mentors; Microsoft Office Specialist Certifications; Adobe Certified Associate  Program; Communications and Advertising Design Certification; college and  career trips,Italian,"English Literature and Composition, Environmental Science, Studio Art: Drawing, World History"," Newspaper, Web Design Club, Gaming and Animation Club, History Club, Math Counts, Yearbook, SkillsUSA, Forensics Team, MAC Club","Baseball, Basketball, Cheerleading, Football, Handball, Soccer, Track, Volleyball, Wrestling","Mercy College, Brooklyn College, New York City College of Technology, Bronx Community College, Columbia Green Community College, Hudson Valley Community College, Ohio Diesel, Lincoln Tech, University Technical Institute (UTI), Morrisville State College - State University of New York (SUNY), WyoTech",ESL,4,"Baseball, Basketball, Bowling, Cross Country, Handball,  Indoor Track, Outdoor Track, Volleyball, Wrestling ","Basketball, Bowling, Cross Country, Handball, Indoor Track,  Outdoor Track, Softball, Tennis, Volleyball & JV Volleyball  ",59%,45%,38%,6.9,59%,64%,26%,6.2,66%,57%,33%,7.3,Developing,2012-13,Mechanical Engineering,Engineering,Scores 75-100,Scores 75-100,Scores 75-100,Scores 75-100,Levels 2-4,Levels 2-4,30,130,None,None
350,14K610,Automotive High School,Brooklyn,9,12,11222,420,CTE School,"Tottenville High School offers a wealth of course offerings, elective sequences and an emphasis on performing and visual arts. In addition to a challenging instructional program, the school hosts a wide range of extracurricular activities including teams, clubs and other after-school programs.","Students may receive CTE endorsement in the following areas: Automotive Technician, Dental Office Careers, Dental Laboratory Technician, Medical Laboratory and Health Assisting, Culinary Arts; Other programs include: Science and Humanities Institute, Honors Classes, Science Research, Advanced Technology, Architecture, Performing and Visual Arts, Automotive Technology, Academy of Finance, College Now, Medical Laboratory Technology, Dental Office Careers, Dental Laboratory Technology, Beacon After-school Program, Robotics, Internships and collaborations with various institutions",Italian,"English Literature and Composition, Environmental Science, Studio Art: Drawing, World History"," Newspaper, Web Design Club, Gaming and Animation Club, History Club, Math Counts, Yearbook, SkillsUSA, Forensics Team, MAC Club","Baseball, Basketball, Cheerleading, Football, Handball, Soccer, Track, Volleyball, Wrestling","Mercy College, Brooklyn College, New York City College of Technology, Bronx Community College, Columbia Green Community College, Hudson Valley Community College, Ohio Diesel, Lincoln Tech, University Technical Institute (UTI), Morrisville State College - State University of New York (SUNY), WyoTech",ESL,4,"Baseball & JV Baseball, Basketball & JV Basketball, Bowling, Cross Country, Fencing, Football & JV Football, Golf, Gymnastics, Handball, Indoor Track, Lacrosse & JV Lacrosse, Outdoor Track, Soccer, Swimming, Tennis, Volleyball, Wrestling","Basketball & JV Basketball, Bowling, Cross Country, Fencing, Golf, Gymnastics, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball & JV Softball, Swimming, Tennis, Volleyball",59%,45%,38%,6.9,59%,64%,26%,6.2,66%,57%,33%,7.3,Developing,2012-13,Automotive Service Center Specialist,Engineering,,,,,,,100,256,25,10
351,14K610,Automotive High School,Brooklyn,9,12,11222,420,CTE School,"Townsend Harris is an academically selective high school that is recognized nationally as a model of secondary education. The student body is comprised of approximately 1,100 culturally diverse individuals who have demonstrated evidence of high academic motivation and achievement. Our program emphasizes mastery in the Humanities, Math and Science, with an emphasis on Classics, and requires of our students the leadership skills, discipline and work ethic expected by the most demanding colleges and careers.","Our Career and Technical Education opportunities include the following courses: Robotics, Bio-Medical Technology, Law Academy and New Media. All classes are Honors, Advanced Placement or college-level; advanced elective courses are offered in all subjects, including Social Science and Science Research programs. Our Humanities-focused curriculum includes two additional 9th grade English classes: Writing Process and Linguistics. All seniors take 12 tuition-free college credits at Queens College, including two electives and a Humanities Seminar co-taught by a professor from the college and a teacher from our school. We offer Concert Band, Chamber Music, Jazz Ensemble and Music Theory. Juniors may take College Now Classes at Queens College.",Italian,"English Literature and Composition, Environmental Science, Studio Art: Drawing, World History"," Newspaper, Web Design Club, Gaming and Animation Club, History Club, Math Counts, Yearbook, SkillsUSA, Forensics Team, MAC Club","Baseball, Basketball, Cheerleading, Football, Handball, Soccer, Track, Volleyball, Wrestling","Mercy College, Brooklyn College, New York City College of Technology, Bronx Community College, Columbia Green Community College, Hudson Valley Community College, Ohio Diesel, Lincoln Tech, University Technical Institute (UTI), Morrisville State College - State University of New York (SUNY), WyoTech",ESL,4,"Baseball, Basketball, Bowling, Cross Country, Fencing, Handball, Indoor Track, Outdoor Track, Soccer, Swimming, Tennis, Volleyball","Basketball & JV Basketball, Bowling, Cross Country, Fencing, Football, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Tennis, Volleyball & JV Volleyball, Wrestling",59%,45%,38%,6.9,59%,64%,26%,6.2,66%,57%,33%,7.3,Developing,2012-13,"Automotive Business Technology, Computer Repair & Electronics",Engineering,,,,,,,50,215,20,4
352,14K610,Automotive High School,Brooklyn,9,12,11222,420,CTE School,"Transit Techâ€™s mission is to provide all students with the academic, career and technical skills required for college and for meaningful employment. All students begin working with computers in grade nine and participate in a multi-period, multi-year career and technical major.","Students may receive CTE endorsement in the following areas: Transit Industrial Electrical, Transit Industrial Electronic, Transit Technician; Career and Technical Majors in six areas; ESI (Expanded Success Initiative), Honors Academy, Freshman Academy, Achieve Now, supervised CTE Internships, Saturday School, Summer School, Science Research, Student Computer Lab, College Now, Scholars to Work",Italian,"English Literature and Composition, Environmental Science, Studio Art: Drawing, World History"," Newspaper, Web Design Club, Gaming and Animation Club, History Club, Math Counts, Yearbook, SkillsUSA, Forensics Team, MAC Club","Baseball, Basketball, Cheerleading, Football, Handball, Soccer, Track, Volleyball, Wrestling","Mercy College, Brooklyn College, New York City College of Technology, Bronx Community College, Columbia Green Community College, Hudson Valley Community College, Ohio Diesel, Lincoln Tech, University Technical Institute (UTI), Morrisville State College - State University of New York (SUNY), WyoTech",ESL,4,"Baseball, Basketball & JV Basketball, Cross Country, Handball, Indoor Track, Outdoor Track, Soccer, Volleyball","Basketball, Cross Country, Indoor Track, Outdoor Track, Softball, Volleyball",59%,45%,38%,6.9,59%,64%,26%,6.2,66%,57%,33%,7.3,Developing,2012-13,Engineering,Engineering,,,,,,,30,202,10,4
